Schadstoff: Stickstoffdioxid (NO2)
Tagesmittelwerte
Einheit: ug/m3
Quelle: NABEL
Datum/Zeit;Lugano-Università
01.01.2016;35.5
02.01.2016;42.1
03.01.2016;38.8
04.01.2016;36.3
05.01.2016;35.5
06.01.2016;29.9
07.01.2016;43.9
08.01.2016;45.1
09.01.2016;41.8
10.01.2016;33.8
11.01.2016;43.7
12.01.2016;45.5
13.01.2016;32.5
14.01.2016;51.8
15.01.2016;34.2
16.01.2016;17.9
17.01.2016;13.9
18.01.2016;37.5
19.01.2016;44.8
20.01.2016;54.8
21.01.2016;64.5
22.01.2016;64.0
23.01.2016;56.3
24.01.2016;50.0
25.01.2016;57.1
26.01.2016;59.6
27.01.2016;59.2
28.01.2016;53.5
29.01.2016;49.2
30.01.2016;45.0
31.01.2016;38.4
01.02.2016;59.8
02.02.2016;64.2
03.02.2016;46.6
04.02.2016;35.7
05.02.2016;48.6
06.02.2016;45.0
07.02.2016;36.0
08.02.2016;43.3
09.02.2016;47.8
10.02.2016;32.1
11.02.2016;39.6
12.02.2016;46.4
13.02.2016;40.5
14.02.2016;43.9
15.02.2016;36.8
16.02.2016;46.6
17.02.2016;41.8
18.02.2016;42.0
19.02.2016;27.9
20.02.2016;27.1
21.02.2016;33.7
22.02.2016;44.5
23.02.2016;45.6
24.02.2016;28.9
25.02.2016;35.6
26.02.2016;38.7
27.02.2016;29.3
28.02.2016;32.9
29.02.2016;52.4
01.03.2016;26.6
02.03.2016;34.0
03.03.2016;17.5
04.03.2016;41.6
05.03.2016;61.0
06.03.2016;45.6
07.03.2016;47.8
08.03.2016;31.1
09.03.2016;42.6
10.03.2016;44.5
11.03.2016;42.5
12.03.2016;32.8
13.03.2016;22.3
14.03.2016;29.1
15.03.2016;38.2
16.03.2016;26.1
17.03.2016;31.5
18.03.2016;34.9
19.03.2016;27.9
20.03.2016;20.4
21.03.2016;29.9
22.03.2016;31.4
23.03.2016;14.8
24.03.2016;28.8
25.03.2016;31.9
26.03.2016;29.4
27.03.2016;22.9
28.03.2016;19.5
29.03.2016;26.4
30.03.2016;31.7
31.03.2016;36.6
01.04.2016;36.1
02.04.2016;29.1
03.04.2016;22.5
04.04.2016;39.3
05.04.2016;28.2
06.04.2016;31.5
07.04.2016;28.9
08.04.2016;20.6
09.04.2016;18.4
10.04.2016;17.6
11.04.2016;24.6
12.04.2016;22.9
13.04.2016;30.5
14.04.2016;25.9
15.04.2016;30.4
16.04.2016;31.7
17.04.2016;25.7
18.04.2016;19.8
19.04.2016;17.1
20.04.2016;23.9
21.04.2016;24.2
22.04.2016;21.6
23.04.2016;12.0
24.04.2016;5.6
25.04.2016;14.5
26.04.2016;22.3
27.04.2016;14.5
28.04.2016;26.0
29.04.2016;25.5
30.04.2016;18.7
01.05.2016;12.6
02.05.2016;18.7
03.05.2016;11.7
04.05.2016;8.7
05.05.2016;11.7
06.05.2016;23.1
07.05.2016;20.2
08.05.2016;13.6
09.05.2016;31.3
10.05.2016;39.8
11.05.2016;29.9
12.05.2016;32.8
13.05.2016;23.5
14.05.2016;14.1
15.05.2016;8.8
16.05.2016;11.6
17.05.2016;17.6
18.05.2016;22.5
19.05.2016;18.3
20.05.2016;21.5
21.05.2016;17.2
22.05.2016;11.4
23.05.2016;19.2
24.05.2016;17.9
25.05.2016;17.8
26.05.2016;14.5
27.05.2016;20.4
28.05.2016;13.3
29.05.2016;11.5
30.05.2016;16.4
31.05.2016;28.8
01.06.2016;16.3
02.06.2016;17.3
03.06.2016;15.1
04.06.2016;14.1
05.06.2016;11.1
06.06.2016;13.6
07.06.2016;18.4
08.06.2016;17.2
09.06.2016;14.8
10.06.2016;13.4
11.06.2016;12.5
12.06.2016;8.1
13.06.2016;14.6
14.06.2016;14.6
15.06.2016;13.8
16.06.2016;20.4
17.06.2016;18.5
18.06.2016;12.7
19.06.2016;8.7
