Schadstoff: Stickoxide (NOX)
Tagesmittelwerte
Einheit: ug/m3 eq. NO2
Quelle: NABEL
Datum/Zeit;Lugano-Università
01.01.2016;55.5
02.01.2016;66.7
03.01.2016;52.8
04.01.2016;48.4
05.01.2016;58.7
06.01.2016;38.7
07.01.2016;86.2
08.01.2016;87.2
09.01.2016;78.9
10.01.2016;56.0
11.01.2016;97.4
12.01.2016;91.5
13.01.2016;49.2
14.01.2016;101.9
15.01.2016;64.7
16.01.2016;21.0
17.01.2016;16.4
18.01.2016;53.8
19.01.2016;68.1
20.01.2016;91.5
21.01.2016;120.5
22.01.2016;113.9
23.01.2016;89.3
24.01.2016;77.4
25.01.2016;119.7
26.01.2016;139.6
27.01.2016;165.4
28.01.2016;123.5
29.01.2016;101.7
30.01.2016;71.6
31.01.2016;57.7
01.02.2016;170.5
02.02.2016;228.7
03.02.2016;126.8
04.02.2016;56.1
05.02.2016;81.9
06.02.2016;63.0
07.02.2016;42.2
08.02.2016;68.0
09.02.2016;91.5
10.02.2016;47.3
11.02.2016;57.4
12.02.2016;64.8
13.02.2016;52.3
14.02.2016;60.4
15.02.2016;54.5
16.02.2016;74.6
17.02.2016;56.5
18.02.2016;66.0
19.02.2016;46.7
20.02.2016;33.2
21.02.2016;41.2
22.02.2016;63.9
23.02.2016;62.9
24.02.2016;37.6
25.02.2016;42.1
26.02.2016;57.6
27.02.2016;33.3
28.02.2016;38.3
29.02.2016;93.7
01.03.2016;33.4
02.03.2016;46.5
03.03.2016;21.0
04.03.2016;54.4
05.03.2016;116.2
06.03.2016;62.3
07.03.2016;73.0
08.03.2016;49.8
09.03.2016;56.3
10.03.2016;61.0
11.03.2016;56.7
12.03.2016;37.1
13.03.2016;24.1
14.03.2016;36.5
15.03.2016;49.9
16.03.2016;30.8
17.03.2016;40.9
18.03.2016;45.9
19.03.2016;31.0
20.03.2016;22.4
21.03.2016;36.8
22.03.2016;38.6
23.03.2016;17.4
24.03.2016;33.1
25.03.2016;36.6
26.03.2016;33.1
27.03.2016;24.8
28.03.2016;20.9
29.03.2016;35.5
30.03.2016;35.2
31.03.2016;44.8
01.04.2016;46.2
02.04.2016;36.9
03.04.2016;25.6
04.04.2016;48.3
05.04.2016;33.3
06.04.2016;46.0
07.04.2016;39.0
08.04.2016;26.5
09.04.2016;21.4
10.04.2016;20.1
11.04.2016;31.1
12.04.2016;25.3
13.04.2016;36.8
14.04.2016;35.8
15.04.2016;37.1
16.04.2016;37.1
17.04.2016;28.8
18.04.2016;25.1
19.04.2016;20.0
20.04.2016;33.3
21.04.2016;27.4
22.04.2016;25.7
23.04.2016;13.3
24.04.2016;6.7
25.04.2016;17.8
26.04.2016;26.1
27.04.2016;17.7
28.04.2016;29.8
29.04.2016;28.6
30.04.2016;20.9
01.05.2016;14.2
02.05.2016;22.6
03.05.2016;13.6
04.05.2016;10.7
05.05.2016;12.6
06.05.2016;26.2
07.05.2016;21.7
08.05.2016;14.6
09.05.2016;35.4
10.05.2016;47.2
11.05.2016;41.4
12.05.2016;39.6
13.05.2016;31.1
14.05.2016;18.1
15.05.2016;10.2
16.05.2016;13.0
17.05.2016;21.6
18.05.2016;25.0
19.05.2016;21.6
20.05.2016;27.7
21.05.2016;19.0
22.05.2016;12.2
23.05.2016;22.5
24.05.2016;25.6
25.05.2016;21.0
26.05.2016;15.7
27.05.2016;22.5
28.05.2016;14.4
29.05.2016;12.6
